episode,title,abbr,stardate,original_airdate,production_number
2x05,Loud As A Whisper,TNG,42477.2,1989-01-09,40272-132
2x06,The Schizoid Man,TNG,42437.5,1989-01-23,40272-131
2x07,Unnatural Selection,TNG,42494.8,1989-01-30,40272-133
2x08,A Matter Of Honor,TNG,42506.5,1989-02-06,40272-134
2x09,The Measure Of A Man,TNG,42523.7,1989-02-13,40272-135
2x10,The Dauphin,TNG,42568.8,1989-02-20,40272-136
2x11,Contagion,TNG,42609.1,1989-03-20,40272-137
2x12,The Royale,TNG,42625.4,1989-03-27,40272-138
2x13,Time Squared,TNG,42679.2,1989-04-03,40272-139
2x14,The Icarus Factor,TNG,42686.4,1989-04-24,40272-140
2x15,Pen Pals,TNG,42695.3,1989-05-01,40272-141
2x16,Q Who,TNG,42761.3,1989-05-08,40272-142
2x17,Samaritan Snare,TNG,42779.1,1989-05-15,40272-143
2x18,Up The Long Ladder,TNG,42823.2,1989-05-22,40272-144
2x19,Manhunt,TNG,42859.2,1989-06-19,40272-145
2x20,The Emissary,TNG,42901.3,1989-06-26,40272-146
2x21,Peak Performance,TNG,42923.4,1989-07-10,40272-147
2x22,Shades of Gray,TNG,42976.1,1989-07-17,40272-148
3x01,Evolution,TNG,43125.8,1989-09-25,40273-150
3x02,The Ensigns of Command,TNG,43133.3,1989-10-02,40273-149
3x03,The Survivors,TNG,43152.4,1989-10-09,40273-151
3x04,Who Watches The Watchers,TNG,43173.5,1989-10-16,40273-152
3x05,The Bonding,TNG,43198.7,1989-10-23,40273-153
3x06,Booby Trap,TNG,43205.6,1989-10-30,40273-154
3x07,The Enemy,TNG,43349.2,1989-11-06,40273-155
3x08,The Price,TNG,43385.6,1989-11-13,40273-156
3x09,The Vengeance Factor,TNG,43421.9,1989-11-20,40273-157
3x10,The Defector,TNG,43462.5,1990-01-01,40273-158
3x11,The Hunted,TNG,43489.2,1990-01-08,40273-159
3x12,The High Ground,TNG,43510.7,1990-01-29,40273-160
3x13,Deja Q,TNG,43539.1,1990-02-05,40273-161
3x14,A Matter of Perspective,TNG,43610.4,1990-02-12,40273-162
3x15,Yesterday's Enterprise,TNG,43625.2,1990-02-19,40273-163
3x16,The Offspring,TNG,43657.0,1990-03-12,40273-164
3x17,Sins of the Father,TNG,43685.2,1990-03-19,40273-165
3x18,Allegiance,TNG,43714.1,1990-03-26,40273-166
3x19,Captain's Holiday,TNG,43745.2,1990-04-02,40273-167
3x20,Tin Man,TNG,43779.3,1990-04-23,40273-168
3x21,Hollow Pursuits,TNG,43807.4,1990-04-30,40273-169
3x22,The Most Toys,TNG,43872.2,1990-05-07,40273-170
3x23,Sarek,TNG,43917.4,1990-05-14,40273-171
3x24,Ménage à Troi,TNG,43930.7,1990-05-28,40273-172
3x25,Transfigurations,TNG,43957.2,1990-06-04,40273-173
3x26,The Best of Both Worlds,TNG,43989.1,1990-06-18,40273-174
4x01,"The Best of Both Worlds, Part II",TNG,44001.4,1990-09-24,40274-175
4x02,Family,TNG,44012.3,1990-10-01,40274-178
4x03,Brothers,TNG,44085.7,1990-10-08,40274-177
4x04,Suddenly Human,TNG,44143.7,1990-10-15,40274-176
4x05,Remember Me,TNG,44161.2,1990-10-22,40274-179
4x06,Legacy,TNG,44215.2,1990-10-29,40274-180
4x07,Reunion,TNG,44246.3,1990-11-05,40274-181
4x08,Future Imperfect,TNG,44286.5,1990-11-12,40274-182
4x09,Final Mission,TNG,44307.3,1990-11-19,40274-183
4x10,The Loss,TNG,44356.9,1990-12-31,40274-184
4x11,Data's Day,TNG,44390.1,1991-01-07,40274-185
4x12,The Wounded,TNG,44429.6,1991-01-28,40274-186
4x13,Devil's Due,TNG,44474.5,1991-02-04,40274-187
4x14,Clues,TNG,44502.7,1991-02-11,40274-188
4x15,First Contact,TNG,Unknown,1991-02-18,40274-189
4x16,Galaxy's Child,TNG,44614.6,1991-03-11,40274-190
4x17,Night Terrors,TNG,44631.2,1991-03-18,40274-191
4x18,Identity Crisis,TNG,44664.5,1991-03-25,40274-192
4x19,The Nth Degree,TNG,44704.2,1991-04-01,40274-193
4x20,Qpid,TNG,44741.9,1991-04-22,40274-194
4x21,The Drumhead,TNG,44769.2,1991-04-29,40274-195
4x22,Half a Life,TNG,44805.3,1991-05-06,40274-196
4x23,The Host,TNG,44821.3,1991-05-13,40274-197
4x24,The Mind's Eye,TNG,44885.5,1991-05-27,40274-198
4x25,In Theory,TNG,44932.3,1991-06-03,40274-199
4x26,Redemption,TNG,44995.3,1991-06-17,40274-200
5x01,Redemption II,TNG,45020.4,1991-09-23,40275-201
5x02,Darmok,TNG,45047.2,1991-09-30,40275-202
5x03,Ensign Ro,TNG,45076.3,1991-10-07,40275-203
5x04,Silicon Avatar,TNG,45122.3,1991-10-14,40275-204
5x05,Disaster,TNG,45156.1,1991-10-21,40275-205
5x06,The Game,TNG,45208.2,1991-10-28,40275-206
5x07,Unification I,TNG,45233.1,1991-11-04,40275-208
5x08,Unification II,TNG,45245.8,1991-11-11,40275-207
5x09,A Matter of Time,TNG,45349.1,1991-11-18,40275-209
5x10,New Ground,TNG,45376.3,1992-01-06,40275-210
5x11,Hero Worship,TNG,45397.3,1992-01-27,40275-211
5x12,Violations,TNG,45429.3,1992-02-03,40275-212
